y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.0,200.0,2012.0,72.0,56.0,6.0,46.0
3.0,238.0,2015.0,76.0,56.0,12.0,27.0
3.25,179.0,2011.0,65.0,55.0,11.0,55.0
3.75,20.0,2009.0,77.0,56.0,11.0,47.0
3.75,252.0,2016.0,75.0,6.0,12.0,4.0
3.75,54.0,2016.0,74.0,9.0,12.0,9.0
2.5,158.0,2014.0,85.0,56.0,3.0,29.0
2.5,193.0,2008.0,75.0,14.0,12.0,19.0
3.0,302.0,2006.0,75.0,18.0,11.0,67.0
2.75,84.0,2016.0,80.0,56.0,12.0,41.0
3.5,302.0,2006.0,75.0,18.0,6.0,32.0
3.25,57.0,2010.0,71.0,50.0,11.0,25.0
3.5,152.0,2014.0,70.0,57.0,12.0,67.0
3.5,345.0,2017.0,80.0,7.0,12.0,57.0
3.0,118.0,2007.0,64.0,56.0,12.0,46.0
2.75,223.0,2007.0,75.0,32.0,11.0,37.0
4.0,294.0,2007.0,70.0,56.0,11.0,37.0
3.5,383.0,2014.0,75.0,56.0,11.0,60.0
2.75,155.0,2009.0,80.0,56.0,11.0,34.0
4.0,297.0,2007.0,72.0,4.0,11.0,37.0
3.5,38.0,2013.0,82.0,50.0,8.0,10.0
3.0,167.0,2010.0,65.0,56.0,11.0,60.0
2.75,306.0,2016.0,70.0,34.0,6.0,40.0
3.0,179.0,2008.0,72.0,55.0,8.0,51.0
2.75,69.0,2014.0,70.0,56.0,11.0,18.0
3.25,44.0,2015.0,80.0,56.0,11.0,2.0
2.75,9.0,2016.0,60.0,56.0,12.0,41.0
4.0,155.0,2013.0,70.0,56.0,11.0,46.0
3.0,147.0,2006.0,74.0,54.0,11.0,18.0
2.75,137.0,2006.0,70.0,57.0,6.0,67.0
3.5,284.0,2014.0,66.0,25.0,11.0,37.0
3.0,358.0,2009.0,68.0,56.0,12.0,63.0
3.75,174.0,2014.0,67.0,56.0,7.0,19.0
3.75,54.0,2016.0,71.0,9.0,12.0,9.0
3.25,61.0,2013.0,70.0,39.0,12.0,46.0
3.5,111.0,2013.0,70.0,56.0,12.0,45.0
3.0,302.0,2006.0,75.0,18.0,11.0,19.0
3.5,278.0,2016.0,70.0,36.0,12.0,50.0
1.5,40.0,2006.0,100.0,18.0,12.0,63.0
3.0,167.0,2008.0,65.0,56.0,12.0,46.0
2.75,0.0,2013.0,70.0,18.0,12.0,44.0
2.75,85.0,2014.0,74.0,56.0,12.0,46.0
2.25,110.0,2015.0,70.0,55.0,12.0,25.0
3.75,399.0,2011.0,70.0,3.0,12.0,46.0
3.25,234.0,2015.0,85.0,58.0,11.0,68.0
3.5,234.0,2012.0,72.0,58.0,11.0,68.0
3.5,177.0,2015.0,70.0,28.0,11.0,60.0
4.0,155.0,2012.0,69.0,56.0,11.0,45.0
2.75,272.0,2012.0,75.0,37.0,12.0,41.0
2.5,91.0,2015.0,75.0,56.0,11.0,40.0
3.25,0.0,2013.0,70.0,18.0,12.0,46.0
3.0,336.0,2015.0,72.0,56.0,12.0,41.0
3.25,122.0,2014.0,72.0,55.0,11.0,67.0
3.25,244.0,2014.0,80.0,23.0,12.0,30.0
2.0,282.0,2011.0,76.0,7.0,12.0,7.0
3.75,343.0,2014.0,70.0,7.0,8.0,64.0
3.0,350.0,2015.0,70.0,56.0,12.0,16.0
3.5,323.0,2008.0,70.0,1.0,11.0,67.0
3.25,167.0,2011.0,72.0,56.0,12.0,63.0
4.0,318.0,2013.0,75.0,56.0,12.0,3.0
3.25,220.0,2012.0,70.0,56.0,12.0,29.0
3.0,288.0,2008.0,72.0,14.0,8.0,19.0
3.0,154.0,2014.0,80.0,56.0,12.0,12.0
2.5,114.0,2013.0,70.0,56.0,8.0,23.0
3.5,179.0,2013.0,80.0,55.0,11.0,68.0
2.5,82.0,2015.0,80.0,55.0,12.0,18.0
3.5,69.0,2015.0,72.0,56.0,12.0,67.0
3.25,322.0,2012.0,69.0,56.0,12.0,8.0
3.5,343.0,2009.0,70.0,7.0,11.0,45.0
3.75,284.0,2016.0,70.0,25.0,11.0,57.0
3.25,18.0,2016.0,70.0,56.0,12.0,19.0
4.0,343.0,2012.0,70.0,7.0,3.0,15.0
3.25,316.0,2013.0,75.0,32.0,11.0,37.0
3.0,103.0,2008.0,72.0,19.0,6.0,67.0
3.75,289.0,2014.0,78.0,7.0,11.0,37.0
4.0,370.0,2012.0,70.0,18.0,11.0,58.0
3.25,383.0,2014.0,90.0,56.0,12.0,18.0
3.5,125.0,2007.0,70.0,29.0,6.0,37.0
3.75,318.0,2016.0,75.0,56.0,12.0,30.0
2.75,54.0,2014.0,69.0,9.0,12.0,9.0
3.75,215.0,2014.0,70.0,56.0,12.0,29.0
3.5,388.0,2016.0,70.0,36.0,12.0,46.0
3.5,111.0,2013.0,70.0,56.0,12.0,67.0
3.5,28.0,2010.0,71.0,4.0,12.0,19.0
3.25,141.0,2014.0,70.0,18.0,11.0,68.0
2.5,379.0,2007.0,85.0,18.0,8.0,69.0
3.5,234.0,2013.0,75.0,58.0,11.0,68.0
2.75,399.0,2014.0,80.0,3.0,12.0,63.0
2.5,9.0,2016.0,60.0,56.0,12.0,3.0
3.0,324.0,2006.0,65.0,9.0,8.0,9.0
2.75,1.0,2010.0,85.0,6.0,8.0,4.0
3.0,146.0,2016.0,76.0,42.0,12.0,34.0
3.0,381.0,2009.0,68.0,32.0,11.0,37.0
4.0,343.0,2013.0,88.0,7.0,12.0,26.0
3.5,57.0,2010.0,71.0,50.0,12.0,67.0
3.25,19.0,2009.0,72.0,55.0,11.0,18.0
3.25,113.0,2015.0,70.0,56.0,12.0,67.0
3.75,357.0,2014.0,70.0,24.0,11.0,13.0
3.75,294.0,2011.0,70.0,56.0,3.0,63.0
3.25,34.0,2015.0,86.0,56.0,11.0,2.0
3.5,172.0,2015.0,74.0,56.0,12.0,4.0
2.75,126.0,2015.0,80.0,55.0,6.0,9.0
4.0,125.0,2007.0,70.0,29.0,6.0,67.0
3.5,35.0,2009.0,65.0,56.0,11.0,37.0
3.75,347.0,2017.0,70.0,56.0,12.0,18.0
2.75,149.0,2014.0,72.0,55.0,6.0,46.0
3.75,81.0,2011.0,68.0,56.0,12.0,67.0
3.75,87.0,2015.0,80.0,46.0,11.0,67.0
2.5,379.0,2006.0,64.0,18.0,11.0,60.0
3.0,261.0,2016.0,80.0,56.0,11.0,68.0
3.25,386.0,2015.0,77.0,56.0,6.0,46.0
4.0,0.0,2014.0,70.0,18.0,12.0,46.0
3.5,62.0,2008.0,71.0,14.0,8.0,19.0
3.0,385.0,2007.0,75.0,56.0,8.0,19.0
2.75,206.0,2015.0,75.0,18.0,11.0,68.0
3.75,335.0,2016.0,73.0,7.0,12.0,19.0
3.75,248.0,2015.0,75.0,56.0,12.0,18.0
3.5,319.0,2011.0,70.0,24.0,12.0,67.0
2.75,289.0,2016.0,70.0,7.0,12.0,27.0
3.25,103.0,2010.0,72.0,19.0,11.0,25.0
4.0,324.0,2006.0,70.0,9.0,8.0,9.0
2.0,65.0,2008.0,77.0,14.0,8.0,19.0
3.75,215.0,2014.0,75.0,56.0,12.0,29.0
3.75,167.0,2015.0,70.0,56.0,12.0,63.0
3.25,335.0,2015.0,73.0,7.0,12.0,28.0
3.75,66.0,2014.0,70.0,36.0,12.0,45.0
3.0,65.0,2008.0,55.0,14.0,8.0,19.0
3.5,156.0,2014.0,70.0,12.0,12.0,41.0
3.5,168.0,2014.0,70.0,7.0,11.0,63.0
3.5,265.0,2014.0,70.0,56.0,8.0,23.0
3.5,303.0,2015.0,74.0,55.0,6.0,37.0
3.5,167.0,2006.0,65.0,56.0,8.0,19.0
3.25,138.0,2013.0,70.0,51.0,12.0,55.0
3.0,307.0,2016.0,70.0,56.0,12.0,46.0
3.5,155.0,2009.0,65.0,56.0,6.0,67.0
2.5,366.0,2007.0,75.0,56.0,12.0,33.0
3.5,317.0,2012.0,66.0,55.0,11.0,25.0
3.0,320.0,2010.0,70.0,29.0,12.0,18.0
3.25,240.0,2014.0,82.0,56.0,6.0,46.0
3.5,302.0,2006.0,75.0,18.0,6.0,57.0
3.0,391.0,2009.0,70.0,55.0,12.0,46.0
3.25,297.0,2010.0,75.0,4.0,11.0,60.0
3.0,238.0,2010.0,75.0,56.0,12.0,67.0
3.25,334.0,2011.0,60.0,29.0,11.0,4.0
3.0,229.0,2012.0,72.0,56.0,12.0,46.0
3.0,7.0,2014.0,75.0,18.0,11.0,37.0
3.25,363.0,2012.0,70.0,56.0,12.0,19.0
3.25,33.0,2010.0,70.0,54.0,11.0,67.0
3.5,397.0,2016.0,70.0,3.0,6.0,57.0
3.25,343.0,2014.0,70.0,7.0,3.0,37.0
3.75,40.0,2014.0,65.0,18.0,12.0,66.0
3.5,399.0,2011.0,65.0,3.0,8.0,31.0
3.75,127.0,2012.0,72.0,55.0,12.0,67.0
3.5,302.0,2010.0,75.0,18.0,11.0,67.0
2.25,148.0,2014.0,65.0,56.0,12.0,49.0
3.0,67.0,2012.0,72.0,10.0,8.0,12.0
