y,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
337500.0,20.0,2.0,96.0,12456.0,3.0,3.0,2.0,13.0,2.0,0.0,0.0,1.0,10.0,5.0,2006.0,2007.0,2.0,1.0,2.0,2.0,2.0,230.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,1172.0,5.0,0.0,528.0,1700.0,0.0,0.0,1.0,2.0,1718.0,0.0,0.0,1718.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,5.0,1.0,1.0,2008.0,0.0,3.0,786.0,2.0,2.0,2.0,216.0,48.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,6.0,3.0
235000.0,120.0,3.0,44.0,4750.0,0.0,1.0,4.0,5.0,2.0,0.0,4.0,1.0,8.0,5.0,2006.0,2007.0,2.0,1.0,7.0,9.0,2.0,481.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1573.0,5.0,0.0,0.0,1573.0,0.0,0.0,1.0,2.0,1625.0,0.0,0.0,1625.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,2006.0,0.0,2.0,538.0,2.0,2.0,2.0,123.0,0.0,0.0,0.0,153.0,0.0,0.0,12.0,2007.0,6.0,2.0
175500.0,20.0,2.0,78.0,12090.0,0.0,3.0,4.0,11.0,2.0,0.0,0.0,1.0,6.0,6.0,1981.0,1981.0,0.0,1.0,4.0,5.0,1.0,210.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,588.0,3.0,228.0,606.0,1422.0,0.0,3.0,1.0,2.0,1422.0,0.0,0.0,1422.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,5.0,1.0,1.0,1981.0,0.0,2.0,576.0,2.0,2.0,2.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,6.0,3.0
225000.0,20.0,2.0,76.0,9158.0,3.0,3.0,4.0,18.0,2.0,0.0,0.0,1.0,8.0,5.0,2007.0,2007.0,0.0,1.0,2.0,2.0,2.0,140.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0,0.0,5.0,0.0,1496.0,1496.0,0.0,0.0,1.0,2.0,1496.0,0.0,0.0,1496.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,5.0,0.0,1.0,2007.0,0.0,2.0,474.0,2.0,2.0,2.0,168.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,5.0,4.0
146000.0,20.0,2.0,71.0,9230.0,3.0,3.0,0.0,10.0,1.0,0.0,0.0,1.0,5.0,8.0,1965.0,1998.0,2.0,1.0,4.0,5.0,1.0,166.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,661.0,5.0,0.0,203.0,864.0,0.0,2.0,1.0,2.0,1200.0,0.0,0.0,1200.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,0.0,5.0,1977.0,2.0,2.0,884.0,2.0,2.0,2.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,10.0,2006.0,6.0,3.0
184000.0,20.0,2.0,47.0,12416.0,0.0,3.0,4.0,20.0,2.0,0.0,0.0,1.0,6.0,5.0,1986.0,1986.0,0.0,1.0,7.0,7.0,2.0,132.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,1398.0,3.0,208.0,0.0,1606.0,0.0,3.0,1.0,2.0,1651.0,0.0,0.0,1651.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,7.0,3.0,1.0,1.0,1986.0,0.0,2.0,616.0,2.0,2.0,2.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2008.0,6.0,3.0
165000.0,80.0,2.0,101.0,9150.0,0.0,3.0,0.0,10.0,2.0,0.0,0.0,4.0,6.0,5.0,1962.0,1962.0,0.0,3.0,5.0,7.0,1.0,305.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,371.0,5.0,0.0,728.0,1099.0,0.0,2.0,1.0,2.0,1431.0,0.0,0.0,1431.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,6.0,5.0,1.0,2.0,1962.0,1.0,1.0,296.0,2.0,2.0,2.0,64.0,110.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,6.0,3.0
193500.0,20.0,2.0,65.0,8125.0,3.0,3.0,4.0,17.0,2.0,0.0,0.0,1.0,6.0,5.0,1994.0,1998.0,0.0,1.0,3.0,3.0,1.0,258.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1138.0,5.0,0.0,270.0,1408.0,0.0,0.0,1.0,2.0,1679.0,0.0,0.0,1679.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,5.0,1.0,1.0,1994.0,1.0,2.0,575.0,2.0,2.0,2.0,224.0,42.0,0.0,0.0,0.0,0.0,0.0,10.0,2008.0,6.0,3.0
167900.0,20.0,2.0,80.0,9650.0,3.0,3.0,4.0,11.0,2.0,0.0,0.0,1.0,6.0,5.0,1977.0,1977.0,0.0,1.0,5.0,7.0,1.0,360.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,686.0,5.0,0.0,664.0,1350.0,0.0,3.0,1.0,2.0,1334.0,0.0,0.0,1334.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,6.0,5.0,1.0,1.0,1977.0,1.0,2.0,630.0,2.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2009.0,6.0,3.0
200000.0,90.0,2.0,91.0,11643.0,3.0,3.0,4.0,10.0,0.0,0.0,2.0,2.0,5.0,5.0,1969.0,1969.0,0.0,1.0,4.0,5.0,1.0,368.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,500.0,5.0,0.0,748.0,1248.0,0.0,3.0,1.0,2.0,1338.0,1296.0,0.0,2634.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,12.0,5.0,0.0,5.0,1969.0,2.0,4.0,968.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009.0,6.0,3.0
